ZAMAN,KAYNAK,ANA_0_DURUM,ANA_1_IRT,ANA_2_HIZ,ANA_3_SIC,ANA_4_NEM,ANA_5_EN,ANA_6_BOY,ANA_7_PITCH,ANA_8_ROLL,ANA_9_YAW,ANA_10_BASMS,ANA_11_BASBMP,ANA_12_BASTOP,ANA_13,ANA_14,ANA_15,ANA_16,ANA_17,ANA_18,ANA_19,ANA_20_IVMEX,ANA_21_IVMEY,ANA_22_IVMEZ,ANA_23,ANA_24,ANA_25,ANA_26,GOREV_0_DURUM,GOREV_1_EN,GOREV_2_BOY,GOREV_3_IVMEX,GOREV_4_IVMEY,GOREV_5_IVMEZ,GOREV_6_FILTREX,GOREV_7_FILTREY,GOREV_8_FILTREZ
"06:32:20.031","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.69","-90.80","14.56","11.76","-35.31","0.000000","0.000000","",""
"06:32:20.180","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.69","-90.89","14.69","11.85","-35.35","0.000000","0.000000","",""
"06:32:20.347","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.69","-90.97","14.62","11.83","-35.38","0.000000","0.000000","",""
"06:32:20.517","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.72","-91.06","14.68","11.71","-35.42","0.000000","0.000000","",""
"06:32:20.683","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.69","-91.14","14.63","11.77","-35.45","0.000000","0.000000","",""
"06:32:20.843","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.30","18.69","-91.23","14.70","12.01","-35.49","0.000000","0.000000","",""
"06:32:21.019","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.31","18.69","-91.32","14.77","11.84","-35.53","0.000000","0.000000","",""
"06:32:21.193","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.66","-91.40","14.57","11.77","-35.56","0.000000","0.000000","",""
"06:32:21.344","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.66","-91.49","14.71","11.87","-35.60","0.000000","0.000000","",""
"06:32:21.517","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.65","-91.58","14.59","11.96","-35.63","0.000000","0.000000","",""
"06:32:21.677","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.30","18.64","-91.66","14.74","12.00","-35.67","0.000000","0.000000","",""
"06:32:21.850","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.64","-91.75","14.61","11.77","-35.71","0.000000","0.000000","",""
"06:32:22.011","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.67","-91.83","14.66","11.95","-35.75","0.000000","0.000000","",""
"06:32:22.214","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.68","-91.92","14.66","11.93","-35.79","0.000000","0.000000","",""
"06:32:22.346","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.67","-92.01","14.80","11.90","-35.82","0.000000","0.000000","",""
"06:32:22.531","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.34","18.69","-92.09","14.45","11.82","-35.86","0.000000","0.000000","",""
"06:32:22.689","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.30","18.69","-92.18","14.68","11.77","-35.90","0.000000","0.000000","",""
"06:32:22.847","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.71","-92.26","14.74","11.97","-35.94","0.000000","0.000000","",""
"06:32:23.026","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.32","18.68","-92.34","14.73","11.81","-35.98","0.000000","0.000000","",""
"06:32:23.180","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.35","18.69","-92.43","14.70","11.81","-36.01","0.000000","0.000000","",""
"06:32:23.346","GOREV","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.33","18.69","-92.52","14.69","11.82","-36.05","0.000000","0.000000","",""
